"id","cve","t","valor","m","id2","DesGeo"
"i7",0,"1992","63.1",0,"a","Nacional"
"i7",0,"1997","68.4",0,"a","Nacional"
"i7",0,"2006","70.9",0,"a","Nacional"
"i7",0,"2009","72.3",0,"a","Nacional"
"i7",0,"2014","72.3",0,"a","Nacional"
"i7",1,"1992","57.5",0,"a","Estatal"
"i7",1,"1997","63.5",0,"a","Estatal"
"i7",1,"2006","69.4",0,"a","Estatal"
"i7",1,"2009","71.5",0,"a","Estatal"
"i7",1,"2014","71.7",0,"a","Estatal"
"i7",2,"1992","73.7",0,"a","Estatal"
"i7",2,"1997","74.1",0,"a","Estatal"
"i7",2,"2006","76.7",0,"a","Estatal"
"i7",2,"2009","78.8",0,"a","Estatal"
"i7",2,"2014","77.1",0,"a","Estatal"
"i7",3,"1992","77.2",0,"a","Estatal"
"i7",3,"1997","77.1",0,"a","Estatal"
"i7",3,"2006","82.6",0,"a","Estatal"
"i7",3,"2009","76",0,"a","Estatal"
"i7",3,"2014","75.5",0,"a","Estatal"
"i7",4,"1992","60.8",0,"a","Estatal"
"i7",4,"1997","71.6",0,"a","Estatal"
"i7",4,"2006","75.6",0,"a","Estatal"
"i7",4,"2009","73.7",0,"a","Estatal"
"i7",4,"2014","69.5",0,"a","Estatal"
"i7",5,"1992","73.5",0,"a","Estatal"
"i7",5,"1997","75.3",0,"a","Estatal"
"i7",5,"2006","78.5",0,"a","Estatal"
"i7",5,"2009","75.1",0,"a","Estatal"
"i7",5,"2014","73.9",0,"a","Estatal"
"i7",6,"1992","70.2",0,"a","Estatal"
"i7",6,"1997","73.7",0,"a","Estatal"
"i7",6,"2006","78.9",0,"a","Estatal"
"i7",6,"2009","78",0,"a","Estatal"
"i7",6,"2014","75.7",0,"a","Estatal"
"i7",7,"1992","49.9",0,"a","Estatal"
"i7",7,"1997","53.5",0,"a","Estatal"
"i7",7,"2006","56.6",0,"a","Estatal"
"i7",7,"2009","54.8",0,"a","Estatal"
"i7",7,"2014","58.6",0,"a","Estatal"
"i7",8,"1992","71",0,"a","Estatal"
"i7",8,"1997","74.1",0,"a","Estatal"
"i7",8,"2006","79.6",0,"a","Estatal"
"i7",8,"2009","78.8",0,"a","Estatal"
"i7",8,"2014","77",0,"a","Estatal"
"i7",9,"1992","75.9",0,"a","Estatal"
"i7",9,"1997","78.1",0,"a","Estatal"
"i7",9,"2006","81.4",0,"a","Estatal"
"i7",9,"2009","79.6",0,"a","Estatal"
"i7",9,"2014","75.1",0,"a","Estatal"
"i7",10,"1992","58.6",0,"a","Estatal"
"i7",10,"1997","67.4",0,"a","Estatal"
"i7",10,"2006","73",0,"a","Estatal"
"i7",10,"2009","73",0,"a","Estatal"
"i7",10,"2014","74.4",0,"a","Estatal"
"i7",11,"1992","53.5",0,"a","Estatal"
"i7",11,"1997","54.6",0,"a","Estatal"
"i7",11,"2006","61.5",0,"a","Estatal"
"i7",11,"2009","67.9",0,"a","Estatal"
"i7",11,"2014","68.1",0,"a","Estatal"
"i7",12,"1992","46.9",0,"a","Estatal"
"i7",12,"1997","47.4",0,"a","Estatal"
"i7",12,"2006","54.7",0,"a","Estatal"
"i7",12,"2009","61.2",0,"a","Estatal"
"i7",12,"2014","67.1",0,"a","Estatal"
"i7",13,"1992","60.2",0,"a","Estatal"
"i7",13,"1997","63.2",0,"a","Estatal"
"i7",13,"2006","68.5",0,"a","Estatal"
"i7",13,"2009","70.7",0,"a","Estatal"
"i7",13,"2014","72.4",0,"a","Estatal"
"i7",14,"1992","59.6",0,"a","Estatal"
"i7",14,"1997","66.7",0,"a","Estatal"
"i7",14,"2006","73",0,"a","Estatal"
"i7",14,"2009","71.1",0,"a","Estatal"
"i7",14,"2014","72.5",0,"a","Estatal"
"i7",15,"1992","71.1",0,"a","Estatal"
"i7",15,"1997","75.4",0,"a","Estatal"
"i7",15,"2006","75.9",0,"a","Estatal"
"i7",15,"2009","76.3",0,"a","Estatal"
"i7",15,"2014","77.8",0,"a","Estatal"
"i7",16,"1992","55.8",0,"a","Estatal"
"i7",16,"1997","60.9",0,"a","Estatal"
"i7",16,"2006","60.6",0,"a","Estatal"
"i7",16,"2009","62.6",0,"a","Estatal"
"i7",16,"2014","68.1",0,"a","Estatal"
"i7",17,"1992","66.5",0,"a","Estatal"
"i7",17,"1997","73.8",0,"a","Estatal"
"i7",17,"2006","73.2",0,"a","Estatal"
"i7",17,"2009","75.3",0,"a","Estatal"
"i7",17,"2014","73.5",0,"a","Estatal"
"i7",18,"1992","70.3",0,"a","Estatal"
"i7",18,"1997","74",0,"a","Estatal"
"i7",18,"2006","76.7",0,"a","Estatal"
"i7",18,"2009","78.6",0,"a","Estatal"
"i7",18,"2014","75.1",0,"a","Estatal"
"i7",19,"1992","75.4",0,"a","Estatal"
"i7",19,"1997","73.6",0,"a","Estatal"
"i7",19,"2006","81.9",0,"a","Estatal"
"i7",19,"2009","79.3",0,"a","Estatal"
"i7",19,"2014","73.5",0,"a","Estatal"
"i7",20,"1992","46.3",0,"a","Estatal"
"i7",20,"1997","55.1",0,"a","Estatal"
"i7",20,"2006","55.9",0,"a","Estatal"
"i7",20,"2009","63.1",0,"a","Estatal"
"i7",20,"2014","61.2",0,"a","Estatal"
"i7",21,"1992","49.5",0,"a","Estatal"
"i7",21,"1997","59.4",0,"a","Estatal"
"i7",21,"2006","59.1",0,"a","Estatal"
"i7",21,"2009","69.5",0,"a","Estatal"
"i7",21,"2014","73.6",0,"a","Estatal"
"i7",22,"1992","50.3",0,"a","Estatal"
