"id","DesGeo"
"i7","N"
"i7","E"
"i9","N"
"i9","E"
"i12","N"
"i12","E"
"i13","N"
"i13","E"
"i14","N"
"i14","E"
"i15","N"
"i15","E"
"i16","N"
"i16","E"
"i17","N"
"i18","N"
"i19","N"
"i45","N"
"i45","E"
"i46","N"
"i47","N"
"i48","N"
"i49","E"
"i50","N"
"i50","E"
"i51","N"
"i51","E"
"i111","E"
"i127","N"
"i127","E"
"i129","N"
"i130","E"
"i130","N"
"i131","N"
"i131","E"
"i132","N"
"i132","E"
"i133","N"
"i133","E"
"i135","E"
"i108","E"
"i97","E"
"i96","N"
"i95","E"
"i90","E"
"i90","N"
"i88","N"
"i86","E"
"i86","N"
"i84","E"
"i84","N"
"i83","E"
"i83","N"
"i79","E"
"i79","N"
"i78","E"
"i78","N"
"i77","E"
"i77","N"
"i76","E"
"i76","N"
"i74","E"
"i74","N"
"i73","N"
"i73","E"
"i70","N"
"i70","E"
"i68","N"
"i68","E"
"i64","E"
"i64","N"
"i63","E"
"i63","N"
"i62","N"
"i62","E"
"i61","E"
"i61","N"
"i60","N"
"i60","E"
"i6","N"
"i6","E"
"i121","E"
"i120","N"
"i120","E"
"i120",NA
"i119","E"
"i118","M"
"i117","E"
"i116","M"
"i114","M"
"i113","M"
"i112","M"
"i107","N"
"i176","E"
"i106","N"
"i175","E"
"i105","N"
"i174","E"
"i104","N"
"i173","E"
"i103","N"
"i172","E"
"i102","N"
"i101","N"
"i170","E"
"i100","N"
"i169","E"
"i99","N"
"i168","E"
"i98","E"
"i94","N"
"i89","N"
"i89","E"
"i177","N"
"0","E"
"i171","E"
"i167","N"
"i166","N"
"i165","N"
"i165","E"
"i164","N"
"i163","N"
"i163","E"
"i162","N"
"i162","E"
"i162",NA
"i161","N"
"i161","E"
"i161",NA
"i160","N"
"i160","E"
"i159","N"
"i159","E"
"i158","N"
"i158","E"
"i158","M"
"i157","N"
"i157","E"
"i157","M"
"i156","N"
"i156","E"
"i156","M"
"i155","N"
"i155","E"
"i155","M"
"i154","N"
"i153","N"
"i153","E"
"i153",NA
"i152","N"
